id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
172,Renaldo Balkman,balkmre01,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina,0,Right,New York Knicks,"1st round (20th pick,20th overall)",2006 NBA Draft
173,Cedric Ball,ballce01,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte,0,Right,,,
174,Greg Ballard,ballagr01,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon,0,Right,Washington Bullets,"1st round (4th pick,4th overall)",1977 NBA Draft
175,Herschel Baltimore,baltihe01,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University,0,Right,,,
176,Gene Banks,banksge01,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University,0,Right,San Antonio Spurs,"2nd round (5th pick,28th overall)",1981 NBA Draft
177,Marcus Banks,banksma01,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas",0,Right,Memphis Grizzlies,"1st round (13th pick,13th overall)",2003 NBA Draft
178,Walker Banks,bankswa01,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University,0,Right,New York Knicks,"9th round (17th pick,153rd overall)",1970 NBA Draft
179,Ken Bannister,bannike01,1985,1991,F-C,6-9,235,"April 1, 1960",Saint Augustine's College,0,Right,New York Knicks,"7th round (17th pick,156th overall)",1984 NBA Draft
180,Mike Bantom,bantomi01,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University,0,Right,Phoenix Suns,"1st round (8th pick,8th overall)",1973 NBA Draft
181,John Barber,barbejo01,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles",0,Right,Minneapolis Lakers,,
182,Leandro Barbosa,barbole01,2004,2017,G,6-3,194,"November 28, 1982",,1,Right,San Antonio Spurs,"1st round (28th pick,28th overall)",2003 NBA Draft
183,Steve Bardo,bardost01,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign,0,Right,Atlanta Hawks,"2nd round (14th pick,41st overall)",1990 NBA Draft
184,J.J. Barea,bareajo01,2007,2017,G,6-0,185,"June 26, 1984",Northeastern University,1,Right,,,
185,Andrea Bargnani,bargnan01,2007,2016,F-C,7-0,245,"October 26, 1985",,0,Right,Toronto Raptors,"1st round (1st pick,1st overall)",2006 NBA Draft
186,Cliff Barker,barkecl01,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky,0,Right,Washington Capitols,5th round,1949 BAA Draft
187,Tom Barker,barketo01,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii,0,Right,Atlanta Hawks,"4th round (2nd pick,53rd overall)",1976 NBA Draft
188,Charles Barkley*,barklch01,1985,2000,F,6-6,252,"February 20, 1963",Auburn University,0,Right,Philadelphia 76ers,"1st round (5th pick,5th overall)",1984 NBA Draft
189,Erick Barkley,barkler01,2001,2002,G,6-1,177,"February 21, 1978",St. John's University,0,Right,Portland Trail Blazers,"1st round (28th pick,28th overall)",2000 NBA Draft
190,Don Barksdale*,barksdo01,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles",0,Right,,,
191,Harrison Barnes,barneha02,2013,2017,F,6-8,210,"May 30, 1992",University of North Carolina,1,Right,Golden State Warriors,"1st round (7th pick,7th overall)",2012 NBA Draft
192,Harry Barnes,barneha01,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University,0,Right,San Diego Rockets,"4th round (1st pick,37th overall)",1968 NBA Draft
193,Jim Barnes,barneji01,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso,0,Right,New York Knicks,"1st round (1st pick,1st overall)",1964 NBA Draft
194,Marvin Barnes,barnema01,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College,0,Right,Philadelphia 76ers,"1st round (2nd pick,2nd overall)",1974 NBA Draft
195,Matt Barnes,barnema02,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles",1,Right,Memphis Grizzlies,"2nd round (17th pick,46th overall)",2002 NBA Draft
196,Dick Barnett,barnedi01,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University,0,Left,Syracuse Nationals,"1st round (4th pick,4th overall)",1959 NBA Draft
197,Jim Barnett,barneji02,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon,0,Right,Boston Celtics,"1st round (8th pick,8th overall)",1966 NBA Draft
198,Nathaniel Barnett,barnena01,1976,1976,G,6-3,175,"January 29, 1953",University of Akron,0,Right,Houston Rockets,"7th round (11th pick,119th overall)",1975 NBA Draft
199,John Barnhill,barnhjo01,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University,0,Right,St. Louis Hawks,"11th round (6th pick,77th overall)",1959 NBA Draft
200,Norton Barnhill,barnhno01,1977,1977,G,6-4,205,"July 15, 1953",Washington State University,0,Right,Seattle SuperSonics,"8th round (12th pick,134th overall)",1976 NBA Draft
201,Leo Barnhorst,barnhle01,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame,0,Right,Indianapolis Olympians,2nd round,1949 BAA Draft
202,John Barr,barrjo01,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University,0,Right,,,
203,Mike Barr,barrmi01,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University,0,Right,Chicago Bulls,"13th round (6th pick,180th overall)",1972 NBA Draft
204,Moe Barr,barrmo01,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University,0,Right,,,
205,Andre Barrett,barrean01,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University,0,Right,,,
206,Ernie Barrett,barreer01,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University,0,Right,Boston Celtics,"1st round (7th pick,7th overall)",1951 NBA Draft
207,Mike Barrett,barremi01,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology,0,Right,,,
208,Earl Barron,barroea01,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis,0,Right,,,
209,Dana Barros,barroda01,1990,2004,G,5-11,163,"April 13, 1967",Boston College,0,Right,Seattle SuperSonics,"1st round (16th pick,16th overall)",1989 NBA Draft
210,Brent Barry,barrybr01,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University,0,Right,Denver Nuggets,"1st round (15th pick,15th overall)",1995 NBA Draft
211,Drew Barry,barrydr01,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology,0,Right,Seattle SuperSonics,"2nd round (28th pick,57th overall)",1996 NBA Draft
212,Jon Barry,barryjo01,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology,0,Right,Boston Celtics,"1st round (21st pick,21st overall)",1992 NBA Draft
213,Rick Barry*,barryri01,1966,1980,F,6-7,205,"March 28, 1944",University of Miami,0,Right,San Francisco Warriors,"1st round (2nd pick,2nd overall)",1965 NBA Draft
214,Ed Bartels,barteed01,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University,0,Right,,,
215,Vic Bartolome,bartovi01,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University,0,Right,San Francisco Warriors,"6th round (2nd pick,87th overall)",1970 NBA Draft
216,Will Barton,bartowi01,2013,2017,G,6-6,175,"January 6, 1991",University of Memphis,1,Right,Portland Trail Blazers,"2nd round (10th pick,40th overall)",2012 NBA Draft
217,Eddie Basden,basdeed01,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte,0,Right,,,
218,Jerry Baskerville,baskeje01,1976,1976,F,6-7,190,"November 10, 1951",Temple University,0,Right,,,
219,Brandon Bass,bassbr01,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University,1,Right,New Orleans Hornets,"2nd round (3rd pick,33rd overall)",2005 NBA Draft
220,Tim Bassett,basseti01,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia,0,Left,Buffalo Braves,"7th round (3rd pick,106th overall)",1973 NBA Draft
221,Maceo Baston,bastoma01,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan,0,Right,Chicago Bulls,"2nd round (29th pick,58th overall)",1998 NBA Draft
222,Mengke Bateer,bateeme01,2002,2004,C,6-11,290,"November 20, 1975",,0,Right,,,
223,Billy Ray Bates,batesbi01,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University,0,Right,Houston Rockets,"3rd round (3rd pick,47th overall)",1978 NBA Draft
224,Esteban Batista,batises01,2006,2007,F-C,6-10,270,"September 2, 1983",,0,Left,,,
225,Mike Batiste,batismi01,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University,0,Right,,,
226,Tony Battie,battito01,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University,0,Right,Denver Nuggets,"1st round (5th pick,5th overall)",1997 NBA Draft
227,Shane Battier,battish01,2002,2014,F,6-8,220,"September 9, 1978",Duke University,0,Right,Memphis Grizzlies,"1st round (6th pick,6th overall)",2001 NBA Draft
228,John Battle,battljo01,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University,0,Right,Atlanta Hawks,"4th round (14th pick,84th overall)",1985 NBA Draft
229,Kenny Battle,battlke01,1990,1993,F,6-6,210,"October 10, 1964",University of Illinois at Urbana-Champaign,0,Left,Detroit Pistons,"1st round (27th pick,27th overall)",1989 NBA Draft
230,Dave Batton,battoda01,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame,0,Right,New Jersey Nets,"3rd round (18th pick,62nd overall)",1978 NBA Draft
231,Lloyd Batts,battsll01,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati,0,Right,Kansas City-Omaha Kings,"4th round (6th pick,60th overall)",1974 NBA Draft
232,Nicolas Batum,batumni01,2009,2017,F-G,6-8,200,"December 14, 1988",,1,Right,Houston Rockets,"1st round (25th pick,25th overall)",2008 NBA Draft
233,Johnny Baum,baumjo01,1970,1974,F,6-5,200,"June 17, 1946",Temple University,0,Right,Chicago Bulls,"2nd round (8th pick,23rd overall)",1969 NBA Draft
234,Frankie Baumholtz,baumhfr01,1947,1947,G,5-10,170,"October 7, 1918",Ohio University,0,Left,,,
235,Lonny Baxter,baxtelo01,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland,0,Right,Chicago Bulls,"2nd round (15th pick,44th overall)",2002 NBA Draft
236,Jerryd Bayless,bayleje01,2009,2017,G,6-3,200,"August 20, 1988",University of Arizona,1,Right,Indiana Pacers,"1st round (11th pick,11th overall)",2008 NBA Draft
237,Elgin Baylor*,bayloel01,1959,1972,F,6-5,225,"September 16, 1934",Seattle University,0,Right,Minneapolis Lakers,"1st round (1st pick,1st overall)",1958 NBA Draft
238,Howard Bayne,bayneho01,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee,0,Right,Baltimore Bullets,"15th round (2nd pick,107th overall)",1966 NBA Draft
239,Aron Baynes,baynear01,2013,2017,C,6-10,260,"December 9, 1986",Washington State University,1,Right,,,
240,Sergei Bazarevich,bazarse01,1995,1995,G,6-2,168,"March 16, 1965",,0,Right,,,
241,Kent Bazemore,bazemke01,2013,2017,G-F,6-5,201,"July 1, 1989",Old Dominion University,1,Left,,,
242,Ed Beach,beached01,1951,1951,F,6-3,200,"January 25, 1929",West Virginia University,0,Right,Minneapolis Lakers,5th round,1950 NBA Draft
243,Bradley Beal,bealbr01,2013,2017,G,6-5,207,"June 28, 1993",University of Florida,1,Right,Washington Wizards,"1st round (3rd pick,3rd overall)",2012 NBA Draft
244,Al Beard,beardal01,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University,0,Right,,,
245,Butch Beard,beardbu01,1970,1979,G,6-3,185,"May 4, 1947",University of Louisville,0,Right,Atlanta Hawks,"1st round (10th pick,10th overall)",1969 NBA Draft
246,Ralph Beard,beardra01,1950,1951,G,5-10,175,"December 2, 1927",University of Kentucky,0,Right,Chicago Stags,2nd round,1949 BAA Draft
247,Charles Beasley,beaslch01,1968,1971,G-F,6-5,190,"September 23, 1945",Southern Methodist University,0,Right,Cincinnati Royals,"7th round (7th pick,74th overall)",1967 NBA Draft
248,Jerome Beasley,beaslje01,2004,2004,F,6-10,237,"May 17, 1980",University of North Dakota,0,Right,Miami Heat,"2nd round (4th pick,33rd overall)",2003 NBA Draft
249,John Beasley,beasljo01,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University,0,Right,Baltimore Bullets,"5th round (5th pick,45th overall)",1966 NBA Draft
250,Malik Beasley,beaslma01,2017,2017,G,6-5,196,"November 26, 1996",Florida State University,1,Right,Denver Nuggets,"1st round (19th pick,19th overall)",2016 NBA Draft
251,Michael Beasley,beaslmi01,2009,2017,F,6-9,235,"January 9, 1989",Kansas State University,1,Left,Miami Heat,"1st round (2nd pick,2nd overall)",2008 NBA Draft
252,Zelmo Beaty*,beatyze01,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University,0,Right,St. Louis Hawks,"1st round (3rd pick,3rd overall)",1962 NBA Draft
253,Rodrigue Beaubois,beaubro01,2010,2013,G,6-0,170,"February 24, 1988",,0,Right,Oklahoma City Thunder,"1st round (25th pick,25th overall)",2009 NBA Draft
254,Byron Beck,beckby01,1968,1977,C-F,6-9,225,"January 25, 1945",University of Denver,0,Right,Chicago Bulls,"2nd round (3rd pick,15th overall)",1967 NBA Draft
255,Corey Beck,beckco01,1996,1999,G,6-1,190,"May 27, 1971",University of Arkansas,0,Right,,,
256,Ernie Beck,becker01,1954,1961,G-F,6-4,190,"December 11, 1931",University of Pennsylvania,0,Right,Philadelphia Warriors,,
257,Arthur Becker,beckear01,1968,1973,F,6-7,205,"January 12, 1942",Arizona State University,0,Right,St. Louis Hawks,"3rd round (6th pick,22nd overall)",1964 NBA Draft
258,Moe Becker,beckemo01,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne University,0,Right,,,
259,Bob Bedell,bedelbo01,1968,1971,F,6-7,205,"June 26, 1944",Stanford University,0,Right,Philadelphia 76ers,"10th round (6th pick,90th overall)",1966 NBA Draft
260,William Bedford,bedfowi01,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis,0,Right,Phoenix Suns,"1st round (6th pick,6th overall)",1986 NBA Draft
261,Hank Beenders,beendha01,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University,0,Right,,,
262,Ron Behagen,behagro01,1974,1980,F-C,6-9,185,"January 14, 1951",University of Minnesota,0,Right,Kansas City-Omaha Kings,"1st round (7th pick,7th overall)",1973 NBA Draft
263,Elmer Behnke,behnkel01,1952,1952,C,6-7,210,"February 3, 1929",Bradley University,0,Right,Rochester Royals,"4th round (8th pick,37th overall)",1951 NBA Draft
264,Marco Belinelli,belinma01,2008,2017,G-F,6-5,210,"March 25, 1986",,1,Right,Golden State Warriors,"1st round (18th pick,18th overall)",2007 NBA Draft
265,Charlie Bell,bellch01,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University,0,Right,,,
266,Dennis Bell,bellde01,1974,1976,F,6-5,185,"June 2, 1951",Drake University,0,Right,New York Knicks,"5th round (14th pick,83rd overall)",1973 NBA Draft
267,Raja Bell,bellra01,2001,2012,G,6-5,204,"September 19, 1976",Florida International University,0,Right,,,
268,Troy Bell,belltr01,2004,2004,G,6-1,180,"November 10, 1980",Boston College,0,Right,Boston Celtics,"1st round (16th pick,16th overall)",2003 NBA Draft
269,Whitey Bell,bellwh01,1960,1961,G,6-0,180,"September 13, 1932",North Carolina State University,0,Right,,,
270,Walt Bellamy*,bellawa01,1962,1975,C,6-11,225,"July 24, 1939",Indiana University,0,Right,Chicago Packers,"1st round (1st pick,1st overall)",1961 NBA Draft
271,DeAndre' Bembry,bembrde01,2017,2017,F,6-6,210,"July 4, 1994",Saint Joseph's University,1,Right,Atlanta Hawks,"1st round (21st pick,21st overall)",2016 NBA Draft
272,Irv Bemoras,bemorir01,1954,1957,F-G,6-3,185,"November 18, 1930",University of Illinois at Urbana-Champaign,0,Right,Milwaukee Hawks,,
273,Leon Benbow,benbole01,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University,0,Right,Chicago Bulls,"2nd round (9th pick,27th overall)",1974 NBA Draft
274,Dragan Bender,bendedr01,2017,2017,F,7-1,225,"November 17, 1997",,1,Right,Phoenix Suns,"1st round (4th pick,4th overall)",2016 NBA Draft
275,Jonathan Bender,bendejo01,2000,2010,F,6-11,202,"January 30, 1981",,0,Right,Toronto Raptors,"1st round (5th pick,5th overall)",1999 NBA Draft
276,Jerrelle Benimon,benimje01,2015,2015,F,6-8,245,"August 1, 1991",Towson University,0,Right,,,
277,Benoit Benjamin,benjabe01,1986,2000,C,7-0,250,"November 22, 1964",Creighton University,0,Right,Los Angeles Clippers,"1st round (3rd pick,3rd overall)",1985 NBA Draft
278,Corey Benjamin,benjaco01,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University,0,Right,Chicago Bulls,"1st round (28th pick,28th overall)",1998 NBA Draft
279,Anthony Bennett,bennean01,2014,2017,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas",1,Right,Cleveland Cavaliers,"1st round (1st pick,1st overall)",2013 NBA Draft
280,Elmer Bennett,benneel01,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame,0,Right,Atlanta Hawks,"2nd round (11th pick,38th overall)",1992 NBA Draft
281,Mario Bennett,bennema01,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University,0,Right,Phoenix Suns,"1st round (27th pick,27th overall)",1995 NBA Draft
282,Mel Bennett,benneme01,1976,1982,F,6-7,200,"January 4, 1955",University of Pittsburgh,0,Right,,,
283,Spider Bennett,bennesp01,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State University,0,Right,,,
284,Tony Bennett,benneto01,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay,0,Right,Charlotte Hornets,"2nd round (8th pick,35th overall)",1992 NBA Draft
285,Winston Bennett,bennewi01,1990,1992,F,6-7,210,"February 9, 1965",University of Kentucky,0,Right,Cleveland Cavaliers,"3rd round (14th pick,64th overall)",1988 NBA Draft
286,David Benoit,benoida01,1992,2001,F,6-8,220,"May 9, 1968",University of Alabama,0,Right,,,
287,Keith Benson,bensoke02,2012,2012,C,6-11,240,"August 13, 1988",Oakland University,0,Right,Atlanta Hawks,"2nd round (18th pick,48th overall)",2011 NBA Draft
288,Kent Benson,bensoke01,1978,1988,C,6-10,235,"December 27, 1954",Indiana University,0,Right,Milwaukee Bucks,"1st round (1st pick,1st overall)",1977 NBA Draft
289,Ben Bentil,bentibe01,2017,2017,F,6-9,235,"March 29, 1995",Providence College,1,Right,Boston Celtics,"2nd round (21st pick,51st overall)",2016 NBA Draft
290,Gene Berce,bercege01,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette University,0,Right,New York Knicks,,
291,Gary Bergen,bergega01,1957,1957,C,6-8,210,"July 16, 1932",University of Utah,0,Right,New York Knicks,,
292,Larry Bergh,berghla01,1970,1970,F,6-8,210,"April 2, 1945",Weber State University,0,Right,Chicago Bulls,"11th round (5th pick,146th overall)",1969 NBA Draft
293,Ricky Berry,berryri01,1989,1989,F,6-8,205,"October 6, 1964",San Jose State University,0,Right,Sacramento Kings,"1st round (18th pick,18th overall)",1988 NBA Draft
294,Walter Berry,berrywa01,1987,1989,F,6-8,215,"May 14, 1964",St. John's University,0,Left,Portland Trail Blazers,"1st round (14th pick,14th overall)",1986 NBA Draft
295,Davis Bertans,bertada01,2017,2017,F,6-10,210,"November 12, 1992",,1,Right,Indiana Pacers,"2nd round (12th pick,42nd overall)",2011 NBA Draft
296,Del Beshore,beshode01,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania,0,Right,,,
297,Travis Best,besttr01,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology,0,Left,Indiana Pacers,"1st round (23rd pick,23rd overall)",1995 NBA Draft
298,Patrick Beverley,beverpa01,2013,2017,G,6-1,185,"July 12, 1988",University of Arkansas,1,Right,Los Angeles Lakers,"2nd round (12th pick,42nd overall)",2009 NBA Draft
299,Sim Bhullar,bhullsi01,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University,0,Right,,,
300,Wesley Bialosuknia,bialowe01,1968,1968,G,6-2,185,"June 8, 1945",University of Connecticut,0,Right,St. Louis Hawks,"4th round (6th pick,37th overall)",1967 NBA Draft
301,Al Bianchi,biancal01,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green State University,0,Right,Minneapolis Lakers,"2nd round (9th pick,18th overall)",1954 NBA Draft
